test_id,user,category,rating,question,redis_answer,correct_answer,explanation,retrieved_memories
aisha_05_t1,Aisha Okafor,cross_session,partially_correct,What's our current funding situation?,"You closed Series A funding, raising $12 million from a16z Bio on February 11, 2026. You are launching publicly in March 2026.",HealthPulse has raised a total of $14M: a $2M seed from Sequoia Scout and a $12M Series A from a16z Bio.,"The system correctly states that $12 million was raised from a16z Bio for Series A funding, but references an outdated date of February 11, 2026, instead of the correct date of February 13, 2026. It also omits the total funding figure of $14 million, which includes the $2 million seed funding from Sequoia Scout.",5
aisha_05_t4,Aisha Okafor,temporal_relevance,incorrect,Have we launched publicly yet or are we still in beta?,You are still in beta with 2000 users and are set to launch publicly in March 2026.,You're launching publicly — you closed your $12M Series A from a16z Bio and are expecting 100K users in the first quarter. The beta phase with 10K users is behind you.,"The system retrieved outdated information by stating the user is still in beta with 2000 users, whereas the ground truth indicates they have closed their Series A and are launching publicly with 100K users expected. Additionally, it failed to retrieve the updated information about the public launch and how many users they anticipate.",5
chen_06_t1,Chen Wei,consolidation,partially_correct,How has my model's performance evolved from the beginning to now?,"Your model's performance has improved significantly over time. Initially, your MoE model achieved an average score of 0.72 across languages on the XNLI dataset, which was below the dense baseline of 0.76. However, after implementing a breakthrough with the auxiliary loss, your MoE model's average score increased to 0.81, surpassing the dense baseline. This improvement was achieved using only 40% of the parameters per forward pass, and your model is currently being trained at a scale of 1 billion parameters with 8 experts. Overall, your progress reflects a substantial enhancement in model performance.","Your MoE model started at 0.72 XNLI (below the dense baseline of 0.76) because the router wasn't specializing by language family. After adding auxiliary losses, it jumped to 0.81, beating the dense baseline. When you scaled to 50 languages and 16 experts, it reached 0.83 vs dense 0.77, with only 30% of parameters per forward pass.","The answer correctly states the initial and improved scores of the MoE model, as well as the fact that the improvement was achieved with auxiliary loss. However, it mentions 40% of parameters instead of the correct 30%, and it lacks details about scaling to 50 languages with 16 experts, which is a key aspect of the model's evolution.",5
chen_06_t2,Chen Wei,contradiction_update,incorrect,How many languages and experts am I using in the current version?,You are currently using 20 languages and 8 experts in the current version of your model.,"Your current version uses 50 languages and 16 experts, expanded from the initial 20 languages and 8 experts.","The system used outdated information, stating that 20 languages and 8 experts are currently being used, while the ground truth indicates the current version uses 50 languages and 16 experts.",5
maria_07_t3,Maria Gonzalez,temporal_relevance,incorrect,Is my technical interview still coming up next Tuesday?,"Yes, your technical interview is still coming up next Tuesday, February 24, 2026.","No, the interview is done — you got the job! You're starting as a junior frontend developer at the Austin startup next month.","The system answered that the interview is still coming up next Tuesday, February 24, 2026, but the ground truth states the interview is done and the user got the job. The information retrieved showed an upcoming interview that is outdated.",5
maria_07_t4,Maria Gonzalez,consolidation,partially_correct,Can you trace how my coding skills have built up over time?,"Your coding skills have built up over time by starting with a strong foundation in HTML and CSS from your design work. You've expressed a desire to build your understanding of programming concepts brick by brick, focusing on small, short, and focused code examples. This gradual approach reflects your methodical learning style as you transition into frontend development.","You started with strong HTML/CSS from your design background but JavaScript was new. You learned React step by step: useState, then props, then data fetching with fetch and useEffect. You built a take-home project for your interview, got the junior frontend dev job, and now you're ramping up on TypeScript for your new role.","The system's answer captures some aspects of the user's progression but misses key details regarding the specific steps taken in learning React and the transition into a job, such as learning data fetching with fetch and useEffect and ramping up on TypeScript.",5
david_08_t2,David Kim,temporal_relevance,partially_correct,Am I still on-call this week?,"Yes, you are on-call this week (February 11-13, 2026).","You mentioned being on-call back in our first conversation, but that was weeks ago. I don't know your current on-call schedule.","The answer indicates the user is on-call specifically on February 11-13, 2026, but the required memory states that the on-call was only for a specific week mentioned in session 1. This implies that the system retrieved outdated information without accounting for the time elapsed since the initial conversation.",5
david_08_t3,David Kim,cross_session,partially_correct,What's our cost savings so far with the migration?,"So far, you are tracking at $28,000 per month, which is $7,000 better than your target cost of $35,000 per month. This indicates a cost savings of $7,000 monthly since the start of your migration efforts.","You've gone from $50K/month on-prem to $28K/month on AWS with 150 out of 200 services migrated — a 44% cost reduction, beating your $35K target.","The system's answer is factually correct regarding the current monthly costs and the target cost. However, it fails to mention the previous on-prem cost of $50K, which is a key detail for understanding the overall cost savings of 44%.",5
david_08_t4,David Kim,implicit_preference,incorrect,What do I tend to prioritize most in my technical decisions?,"Based on your memories, you tend to prioritize performance and efficiency in your technical decisions, as evidenced by your concerns about over-provisioning and your consideration of right-sizing based on actual usage metrics.","You're very cost-focused. Every technical decision ties back to cost optimization — right-sizing pods with VPA, switching to VPC endpoints to cut NAT gateway costs, and constantly tracking your spend against the $35K target. Cost efficiency drives your architecture choices.","The answer focuses on performance and efficiency, highlighting concerns about over-provisioning, which contradicts the ground truth answer that emphasizes cost optimization as the primary priority. Key memories about cost-focused decisions and tracking expenses were not retrieved.",5
david_08_t5,David Kim,noise_resistance,incorrect,Do you remember about my daughter's school play?,"Yes, your daughter is playing Dorothy in the school play of Wizard of Oz on February 11, 13, and 17, 2026. You need to wrap up by 4 PM when attending the play.",I don't have that stored as a relevant memory — that was just a personal aside about needing to leave early.,"The system answered with multiple conflicting dates for the school play (February 11, 13, and 17). The ground truth indicates that the only relevant memory regarding the date is February 13, 2026. The use of multiple dates creates confusion and contradicts the ground truth.",5
yuki_09_t2,Yuki Tanaka,contradiction_update,incorrect,What platforms am I targeting?,You are targeting PC and Nintendo Switch platforms.,You're targeting PC only for now. You dropped the Switch version to focus on PC since the real-time combat was harder to optimize for Switch hardware as a solo dev.,"The answer is incorrect because it asserts that the game targets both PC and Nintendo Switch, whereas the current and correct information states that the Switch version was dropped to focus solely on PC.",5
yuki_09_t4,Yuki Tanaka,implicit_preference,partially_correct,What tends to drive my game design decisions?,"Your game design decisions tend to be driven by the desire to create intuitive systems, as evidenced by your focus on making the crafting UI user-friendly. Additionally, you are working on engaging combat experiences, shown by your development of turn-based combat and boss fights.","Playtester feedback is your primary driver — you switched from turn-based to real-time combat because playtesters said turn-based felt too slow. You also make pragmatic scope decisions, like dropping Switch to focus on PC as a solo dev. You value iterative design informed by your community.",The answer correctly identifies a focus on intuitive systems but fails to mention the critical details about playtester feedback driving the switch from turn-based to real-time combat and the decision to drop the Switch version due to scope constraints. It also retrieves irrelevant information about the crafting UI and boss fights that do not pertain directly to game design decision drivers.,5
alex_10_t2,Alex Rivera,cross_session,partially_correct,What's my overall body of work on the AI environmental impact topic?,"Your overall body of work on the AI environmental impact topic currently focuses on the environmental impact of AI data centers, specifically emphasizing water usage.","You've built a body of work on AI's environmental impact: 1) Published a piece in The Verge on data center environmental impact focusing on water usage (500K views), 2) A follow-up on water usage in tropical climate data centers, and 3) A commissioned piece for The Atlantic on AI chip manufacturing environmental footprint focusing on TSMC and Samsung.","The system's answer focuses on the environmental impact of AI data centers and water usage, but it fails to acknowledge the user's published works and commissioned pieces, which are key components of the overall body of work.",5
elena_11_t4,Elena Rossi,implicit_preference,incorrect,What's my approach to validating design decisions?,"I don't have information on your specific approach to validating design decisions. However, I know you're focused on applying consistent design patterns, as evidenced by your design lead's request to apply the same pattern to the account funding flow.","You're very data-driven — you run user research every two weeks with a panel of 20 beta testers, measure specific metrics like drop-off rates, and use that data to validate design changes. Your identity verification redesign was driven by the 40% drop-off metric.","The system did not retrieve the relevant memories about the user's data-driven approach to validating design decisions, such as running user research every two weeks and measuring drop-off rates. Instead, it focused on a specific design pattern without addressing the validation process, making the answer ultimately incorrect.",5
omar_12_t1,Omar Hassan,consolidation,partially_correct,Can you give me a summary of how the security incident evolved?,"The security incident evolved with the identification of a potential data exfiltration attempt that started on February 10, 2026. User continued investigating this incident, and by February 17, 2026, it became evident that the threat was significant. User traced the traffic back to a compromised npm package used in internal tooling, which was siphoning patient metadata. Although this metadata was not considered protected health information (PHI), User deemed it a serious incident, highlighting the risks of data exfiltration. User's effective handling of a previous incident on February 6, 2026, led to a promotion to Senior Security Analyst.","The incident started with suspicious outbound traffic from workstations. You traced it to a compromised npm package in internal tooling that was siphoning patient metadata (not PHI). 5 total workstations were affected. You contained it, and now you're implementing package signing and lockfile auditing as remediation.","The retrieved information is largely correct but misses key details such as the specific number of affected workstations and the actions taken for remediation (package signing and lockfile auditing). Additionally, it also suggested a timeline of events without confirming the exact number of affected workstations.",5
omar_12_t2,Omar Hassan,temporal_relevance,partially_correct,Am I still on incident response rotation?,"No, you are not still on incident response rotation. Your rotations ended on February 10, February 6, and February 4, 2026, and you are back to regular duties.","No, your incident response rotation ended. You're now back to regular duties and leading the vulnerability management program.","The system retrieved outdated memories about the end of the incident response rotation, which happened on different dates (February 10, February 6, February 4) but did not clearly state the applicable current date. This can create confusion about when the rotation actually ended.",5
lily_13_t3,Lily Zhang,temporal_relevance,incorrect,Am I still TAing this quarter?,"Yes, you are still TAing for CS224N this quarter.","No, you finished TAing CS224N — the quarter ended.","The system stated the user is still TAing for CS224N this quarter, which contradicts the ground truth that the TAing ended with the quarter. The retrieved memories included contradictory information about the user being involved in TAing currently, leading to an incorrect answer.",5
thomas_14_t2,Thomas Okonkwo,simple_recall,partially_correct,How many microservices do we run?,You run 50 microservices on AWS EKS.,You run about 50 microservices. 30 are already migrated to GKE and the remaining 20 are in progress.,"The system's answer states that the user runs 50 microservices on AWS EKS, which is accurate but lacks the important detail about the migration status of the microservices. The ground truth indicates that 30 have been migrated to GKE and 20 are still in progress, which is missing from the system's response.",5
thomas_14_t4,Thomas Okonkwo,consolidation,partially_correct,How has our cloud cost situation evolved since we started the migration?,"Since starting the migration to Google Cloud Platform (GCP), you have achieved about 30% cost savings for the same workload after migrating services to Google Kubernetes Engine (GKE). Your AWS bill hit $85,000 in January 2026, which prompted leadership to explore alternatives, leading to the decision to migrate fully to GCP and decommission AWS by the end of the quarter. You have already moved 30 of your 50 services to GKE.","Your AWS bill was $85K/month. The GCP proof of concept showed about 30% cost savings for equivalent workloads. You've migrated 30 of 50 services to GKE so far, with the remaining work being Kinesis to Pub/Sub and Redshift to BigQuery migrations. AWS decommission is targeted for end of quarter.","The answer is partially correct but retrieves stale information about the AWS bill hitting $85,000 in January 2026. The rest of the information is accurate and aligns with the ground truth answer, but including the timestamp made it less relevant since the timeline is not mentioned in the ground truth.",5
sophie_15_t1,Sophie Martin,cross_session,partially_correct,What's the full picture of how our product roadmap has evolved?,"I don't have specific details about the complete evolution of your product roadmap. However, I do know that in Q1 of 2026, your priorities include the student engagement dashboard, teacher reporting tools, and API for third-party integrations. You also have a goal to ship API version 1 by the end of Q2 2026, with your team split into 4 for the district module and 3 for the API. For a more comprehensive picture, additional information may be needed.","Your roadmap evolved significantly: Original Q1 priorities were engagement dashboard, teacher reporting, and API. The dashboard shipped successfully. Then a big district client (50 schools) shifted priorities — custom analytics module became top priority, pushing teacher reporting to Q2. The district module is now in beta with 10 schools. API v1 is targeted for end of Q2, with 3 engineers working on it.","The system provided relevant information about Q1 priorities and the API timeline, but it did not mention the successful shipment of the engagement dashboard or that teacher reporting was pushed to Q2, which are key details in understanding the full evolution of the roadmap.",5
raj_16_t2,Raj Krishnamurthy,consolidation,partially_correct,How have our app metrics changed since the rewrite?,"Since the rewrite of the app, your crash rate has decreased significantly from 2.1% to 0.3%.","The Flutter rewrite had a big impact: MAU grew from 15K to 22K, Play Store rating went from 3.8 to 4.6 stars, and crash rate dropped from 2.1% to 0.3%.","The system provided information about the crash rate, which is correct, but it failed to include the crucial details regarding MAU growth and Play Store rating improvements since the rewrite.",5
raj_16_t3,Raj Krishnamurthy,simple_recall,partially_correct,What are the main features of our app?,The main features of your app are appointment booking and medication reminders.,"Your patient engagement app has appointment booking, medication reminders, and you're now adding a telemedicine video call feature.","The system correctly identified the features of appointment booking and medication reminders, but it failed to include the new telemedicine video call feature which is part of the app's main features.",5
raj_16_t4,Raj Krishnamurthy,temporal_relevance,incorrect,Is the Flutter rewrite still in progress?,I don't have information about the current status of the Flutter rewrite.,"No, the Flutter rewrite is done! The app launched and is performing great — 22K MAU, 4.6 stars on Play Store, 0.3% crash rate. You're now working on adding telemedicine video calls.","The system did not retrieve any memory indicating that the Flutter rewrite is complete or that the app has launched successfully, which are essential details to answer the question correctly.",5
hannah_17_t3,Hannah Kim,cross_session,partially_correct,What's the full timeline of our trial enrollment?,"Here’s the full timeline of your trial enrollment:

1. You began the screening phase for the Phase II trial of a new Alzheimer's drug, targeting 120 participants, with 43 participants recruited at that time.
2. You waited for 3 weeks for the IRB amendment to expand inclusion criteria.
3. The screening phase was completed before February 13, 2026, with 120 participants reached by February 11, 2026.
4. Randomization was completed, and you transitioned into the treatment phase starting February 24, 2026.","You started with 43 of 120 target participants. After the IRB amendment was approved (expanding age criteria to 55-80), enrollment jumped to 67 in two weeks. You then reached the full 120 target and moved from screening to the treatment phase with 12-week bi-weekly assessments.","The system's answer includes some correct information about the number of participants and the phases of the trial but misses key details, such as the increase from 43 to 67 participants after the IRB amendment and the bi-weekly assessments in the treatment phase.",5
diego_18_t1,Diego Fernandez,contradiction_update,incorrect,What game engine and language am I using?,You are using Unity and C# for game development.,You're using Godot with GDScript now. You switched from Unity and C# because of pricing concerns and better 2D performance in Godot 4.,"The system retrieved an outdated memory stating that the user is using Unity and C#, while the ground truth indicates that the user has switched to Godot and GDScript.",5
amara_19_t1,Amara Osei,contradiction_update,incorrect,What distributed training framework are we using now?,You are using DeepSpeed with PyTorch for distributed training.,You switched to PyTorch's native FSDP from DeepSpeed — it's caught up in capabilities and is simpler to maintain.,"The system incorrectly stated that the user is using DeepSpeed for distributed training, while the ground truth indicates that they switched to PyTorch's native FSDP.",5
amara_19_t2,Amara Osei,consolidation,incorrect,How has our model's performance evolved over time?,"I don't have detailed information about how the model's performance has evolved over time, but I can tell you that the current model achieves an 89.3% mAP on the internal benchmark and has 1.2 billion parameters. The goal is to optimize inference time to be below 50ms per frame.","Your vision transformer's mAP has steadily improved: started at 89.3%, went to 91.1% after adding H100 GPUs to the cluster, and now sits at 93.5% after architecture changes. You're close to production deployment.",The answer is incorrect as it only states the initial mAP of 89.3% and fails to mention any of the performance improvements (91.1% and 93.5%) that occurred over time. It also does not utilize up-to-date information about the model's evolution.,5
ben_20_t1,Ben Nakamura,contradiction_update,incorrect,What documentation platform are we using?,You are using GitBook for hosting and Markdown for writing documentation.,You migrated to Docusaurus from GitBook because of better search and versioning capabilities. Products 1 and 2 are already migrated.,"The system's answer is incorrect because it states that GitBook is in use, while the current state is that the documentation platform has migrated to Docusaurus.",5
ben_20_t2,Ben Nakamura,cross_session,incorrect,How has our documentation scope changed over time?,"I don't have information on how our documentation scope has changed over time. However, I do know that you find the quality of documentation inconsistent due to different writing styles from engineers and that you need to standardize the documentation style.","Your docs have grown significantly: started with 150 endpoints across 3 products, now 200 endpoints across 4 products. You created a style guide, added interactive Swagger examples, and docs satisfaction went from 3.2 to 3.8/5. You also hired a junior tech writer so you're no longer solo.","The system did not retrieve any relevant memories about the changes in documentation scope, and instead focused on inconsistencies in writing styles, which does not address the question about how the documentation scope has changed over time.",5
